"Status","Year","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Female","Heterosexual / straight","48785","42010","21700","21010"
"In post","2021","AA/AO","Female","LGBO","2665","2525","23060","21430"
"In post","2021","AA/AO","Female","Undeclared","7480","6260","21710","21130"
"In post","2021","AA/AO","Female","Unknown","20410","17145","21700","21010"
"In post","2021","AA/AO","Male","Heterosexual / straight","37365","35895","23450","21430"
"In post","2021","AA/AO","Male","LGBO","2245","2165","22400","21010"
"In post","2021","AA/AO","Male","Undeclared","5195","4915","23500","21430"
"In post","2021","AA/AO","Male","Unknown","16520","15675","23350","21140"
"In post","2021","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Female","Heterosexual / straight","49710","44875","27480","27570"
"In post","2021","EO","Female","LGBO","2405","2310","27640","27570"
"In post","2021","EO","Female","Undeclared","6420","5680","27720","27570"
"In post","2021","EO","Female","Unknown","14920","13175","27640","27570"
"In post","2021","EO","Male","Heterosexual / straight","35545","34345","27990","27570"
"In post","2021","EO","Male","LGBO","2565","2505","27640","27570"
"In post","2021","EO","Male","Undeclared","5510","5220","28230","27570"
"In post","2021","EO","Male","Unknown","11805","11335","28130","27570"
"In post","2021","EO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Female","Heterosexual / straight","21025","19910","58270","56350"
"In post","2021","G6/G7","Female","LGBO","1025","1000","57900","55380"
"In post","2021","G6/G7","Female","Undeclared","2295","2180","59100","57460"
"In post","2021","G6/G7","Female","Unknown","5840","5485","58150","55610"
"In post","2021","G6/G7","Male","Heterosexual / straight","20960","20570","59300","57460"
"In post","2021","G6/G7","Male","LGBO","1755","1730","58930","57340"
"In post","2021","G6/G7","Male","Undeclared","3030","2955","59830","57740"
"In post","2021","G6/G7","Male","Unknown","6490","6345","59010","56860"
"In post","2021","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
