"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","AA/AO","25","25","21680","21950"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","EO","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA/AO","15","15","20330","20880"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Policy","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","EO","15","15","24110","25170"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","AA/AO","40","30","19550","18060"
"In post","2021","16-19","Department for Transport","Other","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","AA/AO","160","155","21230","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","EO","40","40","28290","27570"
"In post","2021","16-19","Department of Health and Social Care","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
