"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Westminster","25","25","41860","35070"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Dorset CC","115","110","33040","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","North Yorkshire CC","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Suffolk","350","330","34260","30220"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Tower Hamlets","90","85","63040","59890"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Tower Hamlets","30","30","53750","46940"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Wakefield","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","Camden and City of London","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","Camden and City of London","15","10","78480","61540"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Central Hampshire","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Wiltshire","10","10","38130","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Central Hampshire","240","230","41890","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Wiltshire","15","15","43310","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Central Hampshire","80","75","38050","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Wiltshire","70","65","35320","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","Wiltshire","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Westminster","195","195","40840","34400"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Westminster","15","15","50070","46050"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Westminster","15","15","51810","57620"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Westminster","20","20","49380","53380"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Westminster","30","30","46870","44280"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","Westminster","75","75","53810","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","Westminster","20","20","41850","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","Westminster","25","25","56490","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","Westminster","20","20","49200","43280"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Coventry","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Darlington","20","20","41450","42320"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Manchester","15","15","37080","33190"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Sheffield","55","50","44750","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","Westminster","45","45","48010","45250"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Bristol, City of","15","10","41630","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Coventry","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Darlington","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Manchester","25","25","38280","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Nottingham","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Sheffield","70","65","43450","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","Westminster","130","120","46400","45540"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","Westminster","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","York","45","45","35100","31310"
"In post","2021","Analysis","Department for International Trade","Economics","Berkshire","15","15","48190","51970"
"In post","2021","Analysis","Department for International Trade","Economics","Westminster","130","130","42790","31800"
"In post","2021","Analysis","Department for International Trade","Operational Research","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","Westminster","15","15","36070","30100"
"In post","2021","Analysis","Department for International Trade","Policy","Westminster","10","10","47180","39780"
"In post","2021","Analysis","Department for International Trade","Social Research","Westminster","20","20","44560","46050"
"In post","2021","Analysis","Department for International Trade","Statistics","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","Westminster","50","50","43330","40030"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","Westminster","10","10","45940","43530"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","Westminster","170","165","47670","54110"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","Westminster","20","20","44510","42470"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","Westminster","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","Westminster","40","40","47930","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Westminster","115","110","45560","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Leeds","55","55","49150","49530"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Westminster","175","170","54550","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Leeds","25","25","45870","49530"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Westminster","20","20","52240","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Swansea","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Nottingham","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Bristol, City of","10","10","31190","31380"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Leeds","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","Westminster","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","Westminster","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Westminster","65","65","57940","58370"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Other","Camden and City of London","165","155","69370","65470"
"In post","2021","Analysis","Government Actuary's Department","Other","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Digital, Data and Technology","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Intelligence Analysis","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Intelligence Analysis","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Other","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Economics","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Economics","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","Sefton","10","10","31380","29750"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Project Delivery","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Statistics","Sefton","10","10","50910","58330"
"In post","2021","Analysis","Health and Safety Executive","Statistics","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Statistics","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Operational Research","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Operational Research","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Social Research","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Social Research","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Statistics","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Croydon","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Statistics","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Manchester","25","25","36940","31810"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Tower Hamlets","15","15","47880","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Westminster","60","55","47940","36770"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Manchester","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Westminster","10","10","44710","35050"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Liverpool","20","20","41040","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Manchester","35","35","41910","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Tower Hamlets","15","15","50210","50840"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Westminster","20","20","44060","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Croydon","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Greater Manchester South West","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Liverpool","15","15","41710","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Manchester","10","10","42610","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Tower Hamlets","25","25","48810","47350"
