"Status","Year","Function_of_post","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","210","195","30970","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","270","260","35910","30660"
"In post","2021","Analysis","Charity Commission","Charity Commission","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Charity Commission","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Female","55","50","57500","56360"
"In post","2021","Analysis","Competition and Markets Authority","Competition and Markets Authority","Male","80","80","62080","56630"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Attorney General's Departments","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","HM Treasury","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","HM Treasury","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Female","140","130","37880","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Male","320","310","41340","39420"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","105","100","42610","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","185","185","43790","37890"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","55","50","53780","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","90","85","51690","43280"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Female","220","200","43850","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Male","190","185","44990","44750"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","35","35","37730","35900"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","35","35","38650","32560"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Female","100","100","41910","38160"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Male","150","145","44020","40330"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Female","175","165","47630","44030"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Male","220","220","45960","42890"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","145","135","52140","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","145","145","51970","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Male","35","30","32600","32320"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","25","20","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","45","45","57260","55020"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","Female","60","50","67910","65470"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","Male","115","110","71000","60400"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","Male","15","15","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Female","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","Female","10","10","[c]","[c]"
