"Status","Year","Age","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","95","95","18130","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Bedford","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","AA/AO","AO","20","20","20230","20140"
"In post","2021","16-19","Birmingham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","AA/AO","AO","15","15","21010","21010"
"In post","2021","16-19","Bradford","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","AA/AO","AO","[c]","[c]","[c]","[c]"
