"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Female","180","160","19560","20600"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Male","195","180","19950","20600"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Female","1925","1665","21540","21010"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Male","1490","1425","23410","21440"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Female","2065","1835","26600","27540"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Male","1480","1430","26950","27130"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Female","120","120","65480","64670"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Male","115","110","69930","65580"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Female","435","410","53870","52580"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Male","465","450","55030","52580"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Female","1090","1010","31960","31810"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Male","930","905","32500","31810"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Female","40","40","89520","83240"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Male","35","35","92130","87580"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Female","685","640","40760","38700"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Male","530","510","41260","39580"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Female","385","345","29070","28200"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Male","120","115","33000","33670"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Female","210","190","18950","18760"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Male","155","145","19610","20600"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Female","1485","1245","21430","21010"
