"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Northumberland and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Northumberland and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Shropshire and Staffordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Shropshire and Staffordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","Heterosexual / straight","50","50","44280","39750"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Northumberland and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Northumberland and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","Heterosexual / straight","180","180","45850","40140"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","Unknown","75","75","45450","40270"
