"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","65","60","27640","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","10","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Heterosexual / straight","265","250","33960","30750"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Undeclared","25","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","40","40","34650","30030"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Heterosexual / straight","100","90","25460","25260"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Luton","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","240","225","30510","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","40","35","30020","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Heterosexual / straight","75","70","31250","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Unknown","10","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Heterosexual / straight","110","100","29800","26920"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","10","5","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Heterosexual / straight","70","65","32860","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Undeclared","15","10","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Cheshire East","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Cheshire","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Cheshire East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Cheshire East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Cheshire West and Chester","Heterosexual / straight","[c]","[c]","[c]","[c]"
