"Status","Year","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","AA/AO","Heterosexual / straight","6110","5465","22230","21100"
"In post","2021","Asian","AA/AO","LGBO","180","160","22310","21050"
"In post","2021","Asian","AA/AO","Undeclared","585","500","22360","21430"
"In post","2021","Asian","AA/AO","Unknown","1125","915","22180","21010"
"In post","2021","Asian","EO","Heterosexual / straight","7970","7515","28200","27570"
"In post","2021","Asian","EO","LGBO","165","155","28390","27570"
"In post","2021","Asian","EO","Undeclared","565","510","28370","28550"
"In post","2021","Asian","EO","Unknown","1105","980","28500","27570"
"In post","2021","Asian","G6/G7","Heterosexual / straight","2525","2460","58460","57410"
"In post","2021","Asian","G6/G7","LGBO","75","75","58050","56000"
"In post","2021","Asian","G6/G7","Undeclared","120","120","59130","57170"
"In post","2021","Asian","G6/G7","Unknown","285","270","59430","56610"
"In post","2021","Asian","SCS level","Heterosexual / straight","255","245","91810","89930"
"In post","2021","Asian","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","SCS level","Unknown","35","35","103400","91020"
"In post","2021","Asian","SEO/HEO","Heterosexual / straight","6285","6105","36870","36160"
"In post","2021","Asian","SEO/HEO","LGBO","140","135","37200","36160"
"In post","2021","Asian","SEO/HEO","Undeclared","355","340","37510","36600"
"In post","2021","Asian","SEO/HEO","Unknown","630","610","37160","36650"
"In post","2021","Asian","Unknown","Heterosexual / straight","580","545","29940","28680"
"In post","2021","Asian","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Undeclared","20","15","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Black","AA/AO","Heterosexual / straight","3265","3065","24070","23500"
"In post","2021","Black","AA/AO","LGBO","80","75","23310","22530"
"In post","2021","Black","AA/AO","Undeclared","235","210","24030","23500"
"In post","2021","Black","AA/AO","Unknown","510","455","24940","23520"
