"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G6","Heterosexual / straight","75","70","92500","89720"
"In post","2021","Analysis","Chancellor's other departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G6","Undeclared","15","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO","Heterosexual / straight","20","20","[c]","[c]"
