"Status","Year","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","4650","4470","44000","39460"
"In post","2021","Analysis","LGBO","425","420","41240","36730"
"In post","2021","Analysis","Undeclared","495","470","44780","39960"
"In post","2021","Analysis","Unknown","1640","1575","40980","36660"
"In post","2021","Commercial","Heterosexual / straight","4200","4070","42290","37640"
"In post","2021","Commercial","LGBO","185","185","39040","34500"
"In post","2021","Commercial","Undeclared","575","550","40160","36300"
"In post","2021","Commercial","Unknown","2020","1975","56230","51690"
"In post","2021","Communications","Heterosexual / straight","4765","4585","35440","31810"
"In post","2021","Communications","LGBO","375","365","36040","31810"
"In post","2021","Communications","Undeclared","500","470","34030","31810"
"In post","2021","Communications","Unknown","2570","2490","33430","27500"
"In post","2021","Counter Fraud","Heterosexual / straight","5855","5520","34410","31810"
"In post","2021","Counter Fraud","LGBO","305","295","34270","31810"
"In post","2021","Counter Fraud","Undeclared","940","875","35600","31810"
"In post","2021","Counter Fraud","Unknown","2520","2370","31760","29570"
"In post","2021","Debt","Heterosexual / straight","2155","1930","24030","21440"
"In post","2021","Debt","LGBO","150","140","23180","20140"
"In post","2021","Debt","Undeclared","320","275","24110","21440"
"In post","2021","Debt","Unknown","2045","1875","22380","20140"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","7920","7700","42080","38630"
"In post","2021","Digital, Data & Technology","LGBO","520","515","41800","38450"
"In post","2021","Digital, Data & Technology","Undeclared","1230","1190","40960","38450"
"In post","2021","Digital, Data & Technology","Unknown","3920","3810","40620","38500"
"In post","2021","Finance","Heterosexual / straight","6430","6115","40190","36300"
"In post","2021","Finance","LGBO","250","245","40980","36890"
"In post","2021","Finance","Undeclared","870","815","39100","35000"
"In post","2021","Finance","Unknown","1850","1730","35350","31810"
"In post","2021","Grants Management","Heterosexual / straight","795","710","26630","25190"
"In post","2021","Grants Management","LGBO","55","50","25940","24920"
"In post","2021","Grants Management","Undeclared","60","55","25920","25190"
"In post","2021","Grants Management","Unknown","980","910","24560","21050"
"In post","2021","Human Resources","Heterosexual / straight","7105","6730","38170","33300"
"In post","2021","Human Resources","LGBO","455","445","39860","35400"
