"Status","Year","Disability","Ethnicity","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Black","East of England","Heterosexual / straight","60","60","29780","29290"
"In post","2021","Declared disabled","Black","East of England","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","London","Heterosexual / straight","1005","960","33460","31060"
"In post","2021","Declared disabled","Black","London","LGBO","50","45","37780","31060"
"In post","2021","Declared disabled","Black","London","Undeclared","75","70","33160","31060"
"In post","2021","Declared disabled","Black","London","Unknown","80","70","31150","31060"
"In post","2021","Declared disabled","Black","North East (England)","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Declared disabled","Black","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","North West (England)","Heterosexual / straight","50","50","30670","27570"
"In post","2021","Declared disabled","Black","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Heterosexual / straight","65","60","31500","28040"
"In post","2021","Declared disabled","Black","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","South West (England)","Heterosexual / straight","45","40","31790","29430"
"In post","2021","Declared disabled","Black","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","South West (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","West Midlands (England)","Heterosexual / straight","130","120","28800","27570"
"In post","2021","Declared disabled","Black","West Midlands (England)","LGBO","5","5","[c]","[c]"
