"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Communications","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AO","Heterosexual / straight","15","15","[c]","[c]"
