"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","AA/AO","50","45","23760","24100"
"In post","2021","Commercial","London","EO","105","100","29060","29740"
"In post","2021","Commercial","London","G6/G7","235","230","63630","62550"
"In post","2021","Commercial","London","SCS level","55","50","87030","79150"
"In post","2021","Commercial","London","SEO/HEO","425","420","41370","40650"
"In post","2021","Commercial","London","Unknown","10","10","45860","41060"
"In post","2021","Commercial","Outside London","AA/AO","215","200","22240","21590"
"In post","2021","Commercial","Outside London","EO","600","570","25410","26130"
"In post","2021","Commercial","Outside London","G6/G7","775","750","57480","54560"
"In post","2021","Commercial","Outside London","SCS level","45","45","92450","91580"
"In post","2021","Commercial","Outside London","SEO/HEO","2585","2495","36990","36780"
"In post","2021","Commercial","Outside London","Unknown","205","205","38240","35570"
"In post","2021","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","25","25","42840","42010"
"In post","2021","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Communications","London","AA/AO","65","65","24540","24490"
"In post","2021","Communications","London","EO","235","235","28560","27850"
"In post","2021","Communications","London","G6/G7","650","625","59240","57470"
"In post","2021","Communications","London","SCS level","100","100","88190","82220"
"In post","2021","Communications","London","SEO/HEO","1040","1025","39550","39560"
"In post","2021","Communications","Outside London","AA/AO","175","165","21380","21130"
"In post","2021","Communications","Outside London","EO","395","375","26800","26670"
"In post","2021","Communications","Outside London","G6/G7","295","285","55520","53400"
"In post","2021","Communications","Outside London","SCS level","15","15","78180","76000"
"In post","2021","Communications","Outside London","SEO/HEO","975","935","36250","36430"
"In post","2021","Communications","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
