"Status","Year","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derby","AA","Female","15","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","AA","Male","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","AO","Female","300","240","20640","21010"
"In post","2021","East Midlands (England)","Derby","AO","Male","175","165","23370","21010"
"In post","2021","East Midlands (England)","Derby","EO","Female","195","170","26960","27570"
"In post","2021","East Midlands (England)","Derby","EO","Male","110","105","28420","27570"
"In post","2021","East Midlands (England)","Derby","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","G7","Male","15","15","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","HEO","Female","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","HEO","Male","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SEO","Female","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","SEO","Male","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Derby","Unknown","Female","100","90","29200","28200"
"In post","2021","East Midlands (England)","Derby","Unknown","Male","40","35","32610","32060"
"In post","2021","East Midlands (England)","East Derbyshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","AO","Female","80","65","20510","20720"
"In post","2021","East Midlands (England)","East Derbyshire","AO","Male","20","15","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","EO","Female","135","115","27260","27570"
"In post","2021","East Midlands (England)","East Derbyshire","EO","Male","70","65","27440","27570"
"In post","2021","East Midlands (England)","East Derbyshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","HEO","Female","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","HEO","Male","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","SEO","Male","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","East Derbyshire","Unknown","Female","40","35","28240","26310"
"In post","2021","East Midlands (England)","East Derbyshire","Unknown","Male","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","AA","Female","40","35","18380","17600"
"In post","2021","East Midlands (England)","Leicester","AA","Male","30","25","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","AO","Female","660","550","20970","21010"
"In post","2021","East Midlands (England)","Leicester","AO","Male","475","445","21730","21010"
"In post","2021","East Midlands (England)","Leicester","EO","Female","440","385","27000","27570"
"In post","2021","East Midlands (England)","Leicester","EO","Male","310","300","27080","27570"
"In post","2021","East Midlands (England)","Leicester","G6","Female","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicester","G7","Female","60","55","52860","51950"
"In post","2021","East Midlands (England)","Leicester","G7","Male","40","40","54350","52580"
"In post","2021","East Midlands (England)","Leicester","HEO","Female","140","130","32210","31990"
"In post","2021","East Midlands (England)","Leicester","HEO","Male","110","105","32660","32100"
"In post","2021","East Midlands (England)","Leicester","SCS level","Female","[c]","[c]","[c]","[c]"
