"Status","Year","Ethnicity","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Digital, Culture, Media and Sport","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education (excl. agencies)","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Education (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport (excl. agencies)","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Government Actuary's Department","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Revenue and Customs (excl. agencies)","London","40","40","43030","41760"
"In post","2021","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","HM Treasury (excl. agencies)","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Justice (excl. agencies)","London","35","30","45530","40480"
"In post","2021","Asian","Analysis","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Export Finance","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Analysis","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office (excl. agencies)","London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Crown Commercial Service","London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Crown Commercial Service","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Defence Equipment and Support","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","FCDO Services","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Prison and Probation Service","London","25","25","[c]","[c]"
"In post","2021","Asian","Commercial","HM Prison and Probation Service","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Legal Aid Agency","London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence (excl. agencies)","London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence (excl. agencies)","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Justice (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Justice (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Public Health England","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Public Health England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","The National Archives","London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","UK Export Finance","London","25","20","[c]","[c]"
"In post","2021","Asian","Commercial","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office (excl. agencies)","London","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Defence Equipment and Support","London","50","45","23080","20170"
"In post","2021","Asian","Communications","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","ESTYN","Outside London","[c]","[c]","[c]","[c]"
