"Status","Year","Disability","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","London","80","75","44430","41030"
"In post","2021","Declared disabled","Commercial","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","Outside London","50","45","38100","37040"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","Outside London","45","40","37400","34800"
"In post","2021","Declared disabled","Commercial","South West (England)","Outside London","165","160","39890","37560"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","Outside London","40","40","38540","38000"
"In post","2021","Declared disabled","Communications","East Midlands (England)","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","London","95","95","43530","39600"
"In post","2021","Declared disabled","Communications","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","Outside London","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
