"Status","Year","Disability","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","London","1275","1180","35810","31520"
"In post","2021","Declared disabled","Asian","Outside London","1450","1320","27840","27570"
"In post","2021","Declared disabled","Asian","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","London","1205","1150","33460","31060"
"In post","2021","Declared disabled","Black","Outside London","595","555","29210","27570"
"In post","2021","Declared disabled","Black","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","35","30","36380","31110"
"In post","2021","Declared disabled","Chinese","Outside London","40","40","28560","27880"
"In post","2021","Declared disabled","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","420","400","39090","33640"
"In post","2021","Declared disabled","Mixed","Outside London","755","695","29860","27570"
"In post","2021","Declared disabled","Mixed","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","160","155","39730","34650"
"In post","2021","Declared disabled","Other ethnicity","Outside London","190","175","30720","27570"
"In post","2021","Declared disabled","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","London","405","380","38050","31880"
"In post","2021","Declared disabled","Undeclared","Outside London","1615","1465","29860","27570"
"In post","2021","Declared disabled","Undeclared","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","250","240","39450","35630"
"In post","2021","Declared disabled","Unknown","Outside London","985","875","29400","27570"
"In post","2021","Declared disabled","Unknown","Overseas","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","London","5450","5210","43590","37920"
"In post","2021","Declared disabled","White","Outside London","35305","31970","29480","27570"
"In post","2021","Declared disabled","White","Overseas","170","170","49400","52430"
"In post","2021","Declared disabled","White","Unknown","140","130","31450","27570"
"In post","2021","Declared non-disabled","Asian","London","10670","10075","36860","31800"
"In post","2021","Declared non-disabled","Asian","Outside London","12085","11140","28460","26500"
"In post","2021","Declared non-disabled","Asian","Overseas","125","125","45880","39980"
"In post","2021","Declared non-disabled","Asian","Unknown","130","115","28880","27570"
"In post","2021","Declared non-disabled","Black","London","7675","7430","34570","31060"
"In post","2021","Declared non-disabled","Black","Outside London","4295","4080","29160","27570"
"In post","2021","Declared non-disabled","Black","Overseas","50","50","42160","37500"
"In post","2021","Declared non-disabled","Black","Unknown","45","45","30330","30410"
