"Status","Year","Function_of_post","Parent_department","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","EO","10","10","28300","28230"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","G6","85","75","92120","89720"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","G7","10","10","58100","57250"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","HEO","25","25","36180","36230"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","SEO","25","25","47840","48780"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","G6","30","30","77070","76440"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","G7","45","45","57960","56360"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","HEO","25","25","34370","34570"
