"Status","Year","Disability","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","EO","[c]","[c]","[c]","[c]"
