"Status","Year","Ethnicity","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","AO","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","G7","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","AO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","G7","10","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","AO","90","80","23610","23520"
"In post","2021","Asian","Attorney General's Departments","London","EO","115","105","28440","27750"
"In post","2021","Asian","Attorney General's Departments","London","G6","70","65","67530","65680"
"In post","2021","Asian","Attorney General's Departments","London","G7","215","195","55430","51830"
"In post","2021","Asian","Attorney General's Departments","London","HEO","70","70","36040","33930"
"In post","2021","Asian","Attorney General's Departments","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","SEO","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","G7","[c]","[c]","[c]","[c]"
