"Status","Year","Disability","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Female","950","845","29660","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Male","600","575","29430","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","460","405","25770","24000"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","280","265","27030","25850"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Female","235","215","27230","26810"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Male","155","145","29680","27570"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Female","330","300","30360","29290"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Male","180","170","32320","29290"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","East Anglia","Female","760","680","28220","27570"
"In post","2021","Declared disabled","East of England","East Anglia","Male","600","565","30630","28200"
"In post","2021","Declared disabled","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex","Female","470","415","29320","29290"
"In post","2021","Declared disabled","East of England","Essex","Male","240","225","31930","29290"
"In post","2021","Declared disabled","East of England","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Inner London - East","Female","975","905","36590","31090"
"In post","2021","Declared disabled","London","Inner London - East","Male","595","575","39680","34870"
"In post","2021","Declared disabled","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Inner London - West","Female","2910","2780","43940","39190"
"In post","2021","Declared disabled","London","Inner London - West","Male","2270","2230","45720","40380"
"In post","2021","Declared disabled","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Outer London - East and North East","Female","345","310","30020","31060"
"In post","2021","Declared disabled","London","Outer London - East and North East","Male","150","145","30670","31060"
"In post","2021","Declared disabled","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Outer London - South","Female","655","595","34560","31060"
"In post","2021","Declared disabled","London","Outer London - South","Male","420","410","38400","35050"
"In post","2021","Declared disabled","London","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Outer London - West and North West","Female","500","450","31340","31060"
"In post","2021","Declared disabled","London","Outer London - West and North West","Male","385","355","32850","31060"
"In post","2021","Declared disabled","London","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","Female","1440","1215","26640","25560"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","Male","880","815","27140","23420"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","Female","680","580","26920","27130"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","Male","420","390","27840","27140"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Cheshire","Female","265","235","28350","27570"
"In post","2021","Declared disabled","North West (England)","Cheshire","Male","135","130","30740","27570"
"In post","2021","Declared disabled","North West (England)","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Cumbria","Female","135","115","26970","24920"
"In post","2021","Declared disabled","North West (England)","Cumbria","Male","105","100","28820","26580"
"In post","2021","Declared disabled","North West (England)","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","Female","1255","1115","29130","27570"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","Male","890","850","30270","27570"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Lancashire","Female","1225","1065","26680","27130"
"In post","2021","Declared disabled","North West (England)","Lancashire","Male","715","670","27820","27130"
"In post","2021","Declared disabled","North West (England)","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Merseyside","Female","1455","1245","27420","25560"
"In post","2021","Declared disabled","North West (England)","Merseyside","Male","825","775","28610","25560"
"In post","2021","Declared disabled","North West (England)","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","Female","170","155","28530","25560"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","Male","155","145","26090","23250"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","Female","85","85","47880","51500"
"In post","2021","Declared disabled","Overseas","Overseas","Male","140","140","48330","42800"
"In post","2021","Declared disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Eastern Scotland","Female","1100","1000","31990","27570"
"In post","2021","Declared disabled","Scotland","Eastern Scotland","Male","825","785","33440","30080"
"In post","2021","Declared disabled","Scotland","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Highlands and Islands","Female","95","85","27970","27570"
"In post","2021","Declared disabled","Scotland","Highlands and Islands","Male","75","70","28510","27570"
"In post","2021","Declared disabled","Scotland","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","North Eastern Scotland","Female","80","70","29420","27570"
"In post","2021","Declared disabled","Scotland","North Eastern Scotland","Male","55","55","39650","32400"
"In post","2021","Declared disabled","Scotland","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Southern Scotland","Female","320","280","28650","26160"
"In post","2021","Declared disabled","Scotland","Southern Scotland","Male","180","170","29110","26120"
"In post","2021","Declared disabled","Scotland","Southern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","West Central Scotland","Female","1025","880","27710","26120"
"In post","2021","Declared disabled","Scotland","West Central Scotland","Male","715","670","29380","27570"
"In post","2021","Declared disabled","Scotland","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","555","510","30960","28200"
"In post","2021","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","445","435","32700","30460"
"In post","2021","Declared disabled","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Hampshire and Isle of Wight","Female","925","810","29680","27570"
"In post","2021","Declared disabled","South East (England)","Hampshire and Isle of Wight","Male","750","705","31300","28650"
"In post","2021","Declared disabled","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Kent","Female","530","480","28800","27380"
"In post","2021","Declared disabled","South East (England)","Kent","Male","425","405","30470","29290"
"In post","2021","Declared disabled","South East (England)","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Surrey, East and West Sussex","Female","555","485","28350","27570"
"In post","2021","Declared disabled","South East (England)","Surrey, East and West Sussex","Male","385","360","29910","27570"
"In post","2021","Declared disabled","South East (England)","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Cornwall and Isles of Scilly","Female","135","115","26430","27570"
"In post","2021","Declared disabled","South West (England)","Cornwall and Isles of Scilly","Male","80","75","26520","26690"
"In post","2021","Declared disabled","South West (England)","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Devon","Female","530","450","27430","26670"
"In post","2021","Declared disabled","South West (England)","Devon","Male","430","405","30230","27570"
"In post","2021","Declared disabled","South West (England)","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Dorset and Somerset","Female","330","290","27710","27150"
"In post","2021","Declared disabled","South West (England)","Dorset and Somerset","Male","260","245","30070","27570"
"In post","2021","Declared disabled","South West (England)","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","1535","1405","32670","28880"
"In post","2021","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","1465","1410","36440","33300"
"In post","2021","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Female","120","110","30860","27570"
"In post","2021","Declared disabled","Unknown","Unknown","Male","75","70","32220","27570"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","East Wales","Female","1060","950","30430","27570"
"In post","2021","Declared disabled","Wales","East Wales","Male","720","685","32340","27680"
"In post","2021","Declared disabled","Wales","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","West Wales and The Valleys","Female","1185","990","25230","21710"
"In post","2021","Declared disabled","Wales","West Wales and The Valleys","Male","575","535","27900","26120"
"In post","2021","Declared disabled","Wales","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","290","255","26970","26300"
"In post","2021","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","150","145","29320","27570"
"In post","2021","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","Female","620","555","28920","27570"
"In post","2021","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","Male","445","425","29850","27570"
"In post","2021","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","West Midlands","Female","1360","1200","28440","27570"
"In post","2021","Declared disabled","West Midlands (England)","West Midlands","Male","740","695","29850","27570"
"In post","2021","Declared disabled","West Midlands (England)","West Midlands","Unknown","[c]","[c]","[c]","[c]"
