"Status","Year","Disability","Ethnicity","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","AA/AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","EO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","AA/AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Devon","SCS level","[c]","[c]","[c]","[c]"
