"Status","Year","Disability","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","G7","30","25","56040","51940"
"In post","2021","Declared disabled","Asian","Legal","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","SCS level","[c]","[c]","[c]","[c]"
