"Status","Year","Disability","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","55","55","35350","28430"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","45","40","42030","35630"
"In post","2021","Declared disabled","Attorney General's Departments","London","380","355","49660","51250"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","45","40","35170","28430"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","110","100","39930","32680"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","60","55","45590","44320"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","35","30","40150","36620"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","35","35","40740","42090"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","55","50","41270","42090"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","105","95","43240","38760"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","London","495","480","48060","43890"
"In post","2021","Declared disabled","Cabinet Office","North East (England)","60","55","28220","23850"
"In post","2021","Declared disabled","Cabinet Office","North West (England)","30","30","42480","38890"
"In post","2021","Declared disabled","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South East (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Yorkshire and The Humber","60","55","34630","33300"
"In post","2021","Declared disabled","Chancellor's other departments","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","35","35","55940","54320"
"In post","2021","Declared disabled","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","495","485","46800","41100"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","50","45","32400","31720"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","110","105","36030","32770"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","170","155","34650","30350"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","75","65","31470","30360"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","15","15","[c]","[c]"
