"Status","Year","Age","Parent_department","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","AO","25","25","21680","21950"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","AO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","EO","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","AO","15","15","20420","20880"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Policy","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","EO","15","15","24110","25170"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","AA","25","15","18200","18060"
"In post","2021","16-19","Department for Transport","Operational Delivery","AO","15","15","21950","21590"
"In post","2021","16-19","Department for Transport","Other","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","AO","160","155","21230","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","EO","40","40","28290","27570"
"In post","2021","16-19","Department of Health and Social Care","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","AA","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Security","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Digital, Data and Technology","AA","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Finance","AO","10","5","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","AO","35","35","20310","20140"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","EO","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tax","AO","145","135","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Tax","EO","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","AO","30","30","20540","20140"
"In post","2021","16-19","HM Revenue and Customs","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Economics","EO","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Policy","EO","10","10","[c]","[c]"
"In post","2021","16-19","HM Treasury","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","AO","65","60","21500","21430"
"In post","2021","16-19","Home Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Other","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Security","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Finance","EO","20","20","19570","19040"
"In post","2021","16-19","Ministry of Defence","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","AO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","EO","20","20","18300","17780"
"In post","2021","16-19","Ministry of Defence","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Defence","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Property","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Property","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","AA","25","25","15920","15820"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","AO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","EO","70","70","18080","17780"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","Unknown","15","15","16870","16780"
"In post","2021","16-19","Ministry of Defence","Security","AA","10","10","19560","19560"
"In post","2021","16-19","Ministry of Defence","Security","AO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","AA","50","50","19670","20600"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","AO","80","75","22880","22850"
