"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","AA/AO","Heterosexual / straight","130","120","22880","23520"
"In post","2021","Asian","Attorney General's Departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA/AO","Unknown","35","30","22680","23500"
"In post","2021","Asian","Attorney General's Departments","EO","Heterosexual / straight","145","135","27850","27580"
"In post","2021","Asian","Attorney General's Departments","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6/G7","Heterosexual / straight","340","315","56260","52100"
"In post","2021","Asian","Attorney General's Departments","G6/G7","LGBO","10","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6/G7","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6/G7","Unknown","60","50","59490","59930"
"In post","2021","Asian","Attorney General's Departments","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","Heterosexual / straight","125","120","37070","38000"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AA/AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","Heterosexual / straight","70","70","27710","27500"
"In post","2021","Asian","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","G6/G7","Heterosexual / straight","145","145","58460","56340"
"In post","2021","Asian","Cabinet Office","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO/HEO","Heterosexual / straight","155","155","36960","35590"
"In post","2021","Asian","Cabinet Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
