"Status","Year","Age","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","AA/AO","20","20","21600","21950"
"In post","2021","16-19","Attorney General's Departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","EO","10","10","27390","27680"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","20","20","20090","19850"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","EO","10","10","25000","25000"
"In post","2021","16-19","Department for Education","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","EO","10","10","23530","22430"
"In post","2021","16-19","Department for International Trade","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Outside London","AA/AO","40","30","19510","18060"
"In post","2021","16-19","Department for Transport","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Outside London","AA/AO","160","155","21140","21010"
"In post","2021","16-19","Department for Work and Pensions","Outside London","EO","35","35","27720","27570"
"In post","2021","16-19","Department for Work and Pensions","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","AA/AO","10","10","22080","22100"
"In post","2021","16-19","Department of Health and Social Care","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","AA/AO","15","10","19390","19630"
"In post","2021","16-19","Department of Health and Social Care","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","Unknown","15","15","20920","21600"
"In post","2021","16-19","HM Land Registry","Outside London","AA/AO","15","15","21500","22350"
"In post","2021","16-19","HM Revenue and Customs","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outside London","AA/AO","220","205","20170","20140"
"In post","2021","16-19","HM Revenue and Customs","Outside London","EO","20","20","25280","25560"
"In post","2021","16-19","HM Treasury","London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","London","EO","20","20","24530","24300"
"In post","2021","16-19","Home Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","AA/AO","65","60","21380","21430"
"In post","2021","16-19","Home Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","AA/AO","75","75","18960","19560"
"In post","2021","16-19","Ministry of Defence","Outside London","EO","115","115","18530","17780"
"In post","2021","16-19","Ministry of Defence","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","Unknown","15","15","16840","16780"
"In post","2021","16-19","Ministry of Defence","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Justice","London","AA/AO","15","15","21710","21980"
"In post","2021","16-19","Ministry of Justice","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","AA/AO","110","110","21600","20600"
"In post","2021","16-19","Ministry of Justice","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Outside London","AA/AO","95","95","20980","21150"
"In post","2021","16-19","Scottish Government","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","AA/AO","10","10","18700","19130"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Welsh Government","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","London","AA/AO","135","135","22530","23520"
"In post","2021","20-29","Attorney General's Departments","London","EO","255","255","28130","27350"
"In post","2021","20-29","Attorney General's Departments","London","G6/G7","95","95","51520","51250"
"In post","2021","20-29","Attorney General's Departments","London","SEO/HEO","195","190","37790","39750"
"In post","2021","20-29","Attorney General's Departments","Outside London","AA/AO","310","305","21340","21950"
"In post","2021","20-29","Attorney General's Departments","Outside London","EO","185","180","26110","25480"
"In post","2021","20-29","Attorney General's Departments","Outside London","G6/G7","55","55","49630","48080"
"In post","2021","20-29","Attorney General's Departments","Outside London","SEO/HEO","90","85","36200","38000"
"In post","2021","20-29","Cabinet Office","London","AA/AO","70","70","24500","24490"
"In post","2021","20-29","Cabinet Office","London","EO","355","355","27580","27500"
"In post","2021","20-29","Cabinet Office","London","G6/G7","400","400","56190","54700"
"In post","2021","20-29","Cabinet Office","London","SCS level","20","20","66780","63750"
"In post","2021","20-29","Cabinet Office","London","SEO/HEO","1670","1670","32250","32000"
"In post","2021","20-29","Cabinet Office","Outside London","AA/AO","100","100","20810","20800"
"In post","2021","20-29","Cabinet Office","Outside London","EO","85","85","25240","25550"
"In post","2021","20-29","Cabinet Office","Outside London","G6/G7","15","15","53270","50630"
"In post","2021","20-29","Cabinet Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Outside London","SEO/HEO","310","310","30170","29250"
"In post","2021","20-29","Cabinet Office","Unknown","AA/AO","10","10","21190","20800"
"In post","2021","20-29","Cabinet Office","Unknown","EO","20","20","26600","27500"
"In post","2021","20-29","Cabinet Office","Unknown","G6/G7","20","20","55060","54700"
"In post","2021","20-29","Cabinet Office","Unknown","SEO/HEO","320","320","30830","29440"
"In post","2021","20-29","Chancellor's other departments","London","AA/AO","15","15","22810","22000"
"In post","2021","20-29","Chancellor's other departments","London","EO","15","15","28770","28230"
"In post","2021","20-29","Chancellor's other departments","London","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","London","SEO/HEO","40","40","39730","37870"
"In post","2021","20-29","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","EO","25","25","24370","24440"
"In post","2021","20-29","Charity Commission","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","AA/AO","20","20","23130","22860"
"In post","2021","20-29","Competition and Markets Authority","London","EO","25","25","28140","27920"
"In post","2021","20-29","Competition and Markets Authority","London","G6/G7","35","35","57160","55860"
"In post","2021","20-29","Competition and Markets Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","SEO/HEO","55","55","35490","34570"
"In post","2021","20-29","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","AA/AO","40","40","25650","24900"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","EO","170","165","28240","27680"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","G6/G7","485","485","55630","53600"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","1155","1150","36870","34400"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","320","315","21160","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","EO","385","385","25610","24500"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","20","20","52150","49610"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","315","315","34880","34050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","10","10","42420","42420"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","EO","95","95","27630","26180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","G6/G7","190","190","56500","51730"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","SEO/HEO","360","360","37130","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","EO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","15","15","35120","34020"
"In post","2021","20-29","Department for Education","London","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for Education","London","EO","140","140","29000","28500"
"In post","2021","20-29","Department for Education","London","G6/G7","160","160","55070","53760"
"In post","2021","20-29","Department for Education","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","London","SEO/HEO","340","340","37590","36980"
"In post","2021","20-29","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","Outside London","AA/AO","20","20","21000","21000"
"In post","2021","20-29","Department for Education","Outside London","EO","255","255","25370","25000"
"In post","2021","20-29","Department for Education","Outside London","G6/G7","90","90","50820","49860"
"In post","2021","20-29","Department for Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","Outside London","SEO/HEO","590","590","33160","30870"
"In post","2021","20-29","Department for Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","AA/AO","15","15","23980","24370"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","EO","125","125","28030","27960"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","G6/G7","115","115","53920","53200"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","SEO/HEO","525","520","34620","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","425","420","21460","21050"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","EO","335","330","25400","24920"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","35","35","49060","48370"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","360","360","32020","29750"
"In post","2021","20-29","Department for International Trade","London","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","London","EO","115","115","26830","26510"
"In post","2021","20-29","Department for International Trade","London","G6/G7","215","215","51490","51970"
"In post","2021","20-29","Department for International Trade","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","London","SEO/HEO","540","535","34170","32120"
"In post","2021","20-29","Department for International Trade","Outside London","EO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Outside London","G6/G7","10","10","52480","51970"
"In post","2021","20-29","Department for International Trade","Outside London","SEO/HEO","35","35","32270","31800"
"In post","2021","20-29","Department for International Trade","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Overseas","SEO/HEO","10","10","34350","33730"
"In post","2021","20-29","Department for Transport","London","AA/AO","20","20","26370","25730"
"In post","2021","20-29","Department for Transport","London","EO","160","155","29520","30270"
"In post","2021","20-29","Department for Transport","London","G6/G7","175","175","55300","54650"
"In post","2021","20-29","Department for Transport","London","SEO/HEO","515","515","36620","35060"
"In post","2021","20-29","Department for Transport","Outside London","AA/AO","860","815","21520","21590"
"In post","2021","20-29","Department for Transport","Outside London","EO","275","270","26530","26350"
"In post","2021","20-29","Department for Transport","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","Outside London","SEO/HEO","220","220","34480","31860"
"In post","2021","20-29","Department for Transport","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","London","AA/AO","225","225","25120","25110"
"In post","2021","20-29","Department for Work and Pensions","London","EO","1285","1270","31070","31060"
"In post","2021","20-29","Department for Work and Pensions","London","G6/G7","45","45","56350","54070"
"In post","2021","20-29","Department for Work and Pensions","London","SEO/HEO","260","260","36990","36650"
"In post","2021","20-29","Department for Work and Pensions","Outside London","AA/AO","3400","3295","21190","21010"
"In post","2021","20-29","Department for Work and Pensions","Outside London","EO","4660","4600","27700","27570"
"In post","2021","20-29","Department for Work and Pensions","Outside London","G6/G7","40","40","53030","52150"
"In post","2021","20-29","Department for Work and Pensions","Outside London","SEO/HEO","500","495","33390","31990"
"In post","2021","20-29","Department for Work and Pensions","Unknown","AA/AO","25","25","21740","21010"
"In post","2021","20-29","Department for Work and Pensions","Unknown","EO","75","75","27730","27570"
"In post","2021","20-29","Department for Work and Pensions","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Unknown","SEO/HEO","20","20","33470","31990"
"In post","2021","20-29","Department of Health and Social Care","London","AA/AO","110","100","23500","23530"
"In post","2021","20-29","Department of Health and Social Care","London","EO","420","410","27120","27270"
"In post","2021","20-29","Department of Health and Social Care","London","G6/G7","280","280","55090","53360"
"In post","2021","20-29","Department of Health and Social Care","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","London","SEO/HEO","900","885","35140","32790"
"In post","2021","20-29","Department of Health and Social Care","Outside London","AA/AO","305","280","20090","19630"
"In post","2021","20-29","Department of Health and Social Care","Outside London","EO","230","225","23740","23440"
"In post","2021","20-29","Department of Health and Social Care","Outside London","G6/G7","45","45","52190","49530"
"In post","2021","20-29","Department of Health and Social Care","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","Outside London","SEO/HEO","400","390","31820","29290"
"In post","2021","20-29","ESTYN","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","SEO/HEO","45","45","34980","32830"
"In post","2021","20-29","Food Standards Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Outside London","EO","20","20","25510","26750"
"In post","2021","20-29","Food Standards Agency","Outside London","SEO/HEO","35","35","33470","30810"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","AA/AO","85","85","27330","28000"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","EO","155","155","29860","29300"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","G6/G7","100","100","51300","53370"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","SEO/HEO","580","580","36650","37200"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","AA/AO","95","95","23640","24750"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","EO","105","105","26650","26560"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","G6/G7","15","15","44670","48500"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","SEO/HEO","110","110","34800","33930"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","Unknown","25","25","22420","21600"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","G6/G7","30","30","53190","52920"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","SEO/HEO","170","170","34780","33860"
"In post","2021","20-29","HM Land Registry","London","AA/AO","20","20","25730","25850"
"In post","2021","20-29","HM Land Registry","London","EO","15","15","30600","30600"
"In post","2021","20-29","HM Land Registry","London","SEO/HEO","10","10","41460","41900"
"In post","2021","20-29","HM Land Registry","Outside London","AA/AO","670","655","22330","22350"
"In post","2021","20-29","HM Land Registry","Outside London","EO","305","300","27510","27130"
"In post","2021","20-29","HM Land Registry","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","HM Land Registry","Outside London","SEO/HEO","75","75","36470","38450"
"In post","2021","20-29","HM Revenue and Customs","London","AA/AO","115","115","24170","24120"
"In post","2021","20-29","HM Revenue and Customs","London","EO","355","350","29410","29570"
"In post","2021","20-29","HM Revenue and Customs","London","G6/G7","200","200","58540","59160"
"In post","2021","20-29","HM Revenue and Customs","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HM Revenue and Customs","London","SEO/HEO","520","520","37150","36160"
"In post","2021","20-29","HM Revenue and Customs","Outside London","AA/AO","4045","3875","20170","20140"
"In post","2021","20-29","HM Revenue and Customs","Outside London","EO","2740","2705","25260","25560"
"In post","2021","20-29","HM Revenue and Customs","Outside London","G6/G7","305","300","52080","52580"
"In post","2021","20-29","HM Revenue and Customs","Outside London","SEO/HEO","2045","2035","32440","31810"
"In post","2021","20-29","HM Treasury","London","AA/AO","30","30","22600","22500"
"In post","2021","20-29","HM Treasury","London","EO","100","100","26500","26750"
"In post","2021","20-29","HM Treasury","London","G6/G7","315","315","54040","52530"
"In post","2021","20-29","HM Treasury","London","SEO/HEO","570","570","33380","32320"
