"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","AA","210","195","19280","19560"
"In post","2021","16-19","AA/AO","AO","735","710","21240","21010"
"In post","2021","16-19","EO","EO","305","300","23060","24300"
"In post","2021","16-19","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","70","70","18720","16780"
"In post","2021","20-29","AA/AO","AA","2805","2710","20070","20600"
"In post","2021","20-29","AA/AO","AO","23660","23035","22760","21430"
"In post","2021","20-29","EO","EO","21605","21365","27030","27370"
"In post","2021","20-29","G6/G7","G6","295","295","64640","64500"
"In post","2021","20-29","G6/G7","G7","4060","4045","53730","53380"
"In post","2021","20-29","SCS level","SCS level","45","45","71850","71090"
"In post","2021","20-29","SEO/HEO","HEO","16540","16455","32420","32120"
"In post","2021","20-29","SEO/HEO","SEO","5445","5420","39730","39990"
"In post","2021","20-29","Unknown","Unknown","2970","2920","26300","24020"
"In post","2021","30-39","AA/AO","AA","2535","2310","20130","20070"
"In post","2021","30-39","AA/AO","AO","23290","21195","23070","21430"
"In post","2021","30-39","EO","EO","25665","24295","27480","27570"
"In post","2021","30-39","G6/G7","G6","3770","3670","66810","65710"
"In post","2021","30-39","G6/G7","G7","12760","12400","54220","53560"
"In post","2021","30-39","SCS level","SCS level","1165","1130","79090","74770"
"In post","2021","30-39","SEO/HEO","HEO","17665","17105","33010","31990"
"In post","2021","30-39","SEO/HEO","SEO","12670","12320","40710","40050"
"In post","2021","30-39","Unknown","Unknown","3875","3635","31470","31420"
"In post","2021","40-49","AA/AO","AA","3030","2790","20040","20060"
"In post","2021","40-49","AA/AO","AO","24200","21535","22900","21160"
"In post","2021","40-49","EO","EO","28385","26390","27780","27570"
"In post","2021","40-49","G6/G7","G6","5645","5440","68240","66610"
"In post","2021","40-49","G6/G7","G7","13495","12955","55240","54270"
"In post","2021","40-49","SCS level","SCS level","2895","2805","88170","80580"
"In post","2021","40-49","SEO/HEO","HEO","16660","15990","33650","32750"
"In post","2021","40-49","SEO/HEO","SEO","14000","13465","41810","40580"
"In post","2021","40-49","Unknown","Unknown","3980","3715","34580","34330"
"In post","2021","50-59","AA/AO","AA","6125","5645","20000","20060"
"In post","2021","50-59","AA/AO","AO","34360","30710","22970","21430"
"In post","2021","50-59","EO","EO","39185","36335","28200","27570"
"In post","2021","50-59","G6/G7","G6","5625","5510","69930","68720"
"In post","2021","50-59","G6/G7","G7","12800","12460","56170","54990"
"In post","2021","50-59","SCS level","SCS level","2630","2575","95790","87290"
"In post","2021","50-59","SEO/HEO","HEO","20470","19705","34320","33630"
"In post","2021","50-59","SEO/HEO","SEO","15815","15360","42560","41340"
"In post","2021","50-59","Unknown","Unknown","4015","3825","35540","34320"
"In post","2021","60-64","AA/AO","AA","3005","2540","19820","19750"
"In post","2021","60-64","AA/AO","AO","11525","9255","22440","21180"
"In post","2021","60-64","EO","EO","10650","8465","28160","27570"
"In post","2021","60-64","G6/G7","G6","920","805","71490","70760"
"In post","2021","60-64","G6/G7","G7","2190","1920","57580","56410"
"In post","2021","60-64","SCS level","SCS level","450","410","102990","94500"
"In post","2021","60-64","SEO/HEO","HEO","4590","3825","34660","34290"
"In post","2021","60-64","SEO/HEO","SEO","3130","2705","43610","42520"
"In post","2021","60-64","Unknown","Unknown","1250","1100","33350","32690"
"In post","2021","65+","AA/AO","AA","1395","1080","19660","19560"
"In post","2021","65+","AA/AO","AO","3780","2885","22380","21430"
"In post","2021","65+","EO","EO","3075","2275","28150","27570"
"In post","2021","65+","G6/G7","G6","280","215","72170","71890"
"In post","2021","65+","G6/G7","G7","575","455","59260","58130"
"In post","2021","65+","SCS level","SCS level","110","85","105360","99740"
"In post","2021","65+","SEO/HEO","HEO","1255","980","35040","34500"
"In post","2021","65+","SEO/HEO","SEO","770","595","44190","43180"
"In post","2021","65+","Unknown","Unknown","405","325","33510","32400"
"In post","2021","Unknown","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Unknown","EO","EO","25","20","27180","27570"
"In post","2021","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","AA/AO","AA","25","[c]","18980","18160"
"Leaver CS","2021","16-19","AA/AO","AO","65","[c]","20970","21010"
"Leaver CS","2021","16-19","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","AA/AO","AA","480","[c]","19060","18850"
"Leaver CS","2021","20-29","AA/AO","AO","2635","[c]","21450","21010"
"Leaver CS","2021","20-29","EO","EO","1110","[c]","25870","26670"
"Leaver CS","2021","20-29","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","G6/G7","G7","95","[c]","53680","53760"
"Leaver CS","2021","20-29","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","SEO/HEO","HEO","575","[c]","31470","32000"
"Leaver CS","2021","20-29","SEO/HEO","SEO","185","[c]","39800","40010"
"Leaver CS","2021","20-29","Unknown","Unknown","295","[c]","27290","26400"
"Leaver CS","2021","30-39","AA/AO","AA","210","[c]","18960","18800"
"Leaver CS","2021","30-39","AA/AO","AO","1450","[c]","21990","21010"
"Leaver CS","2021","30-39","EO","EO","815","[c]","27640","27570"
"Leaver CS","2021","30-39","G6/G7","G6","100","[c]","67960","65950"
"Leaver CS","2021","30-39","G6/G7","G7","380","[c]","54220","53830"
"Leaver CS","2021","30-39","SCS level","SCS level","35","[c]","78510","76680"
"Leaver CS","2021","30-39","SEO/HEO","HEO","465","[c]","33350","32920"
"Leaver CS","2021","30-39","SEO/HEO","SEO","400","[c]","40270","40040"
"Leaver CS","2021","30-39","Unknown","Unknown","215","[c]","29010","29880"
"Leaver CS","2021","40-49","AA/AO","AA","180","[c]","19200","19080"
"Leaver CS","2021","40-49","AA/AO","AO","1180","[c]","21530","21010"
"Leaver CS","2021","40-49","EO","EO","700","[c]","27740","27570"
"Leaver CS","2021","40-49","G6/G7","G6","130","[c]","72150","70230"
"Leaver CS","2021","40-49","G6/G7","G7","280","[c]","55550","54600"
"Leaver CS","2021","40-49","SCS level","SCS level","110","[c]","93560","87550"
"Leaver CS","2021","40-49","SEO/HEO","HEO","370","[c]","33490","33180"
"Leaver CS","2021","40-49","SEO/HEO","SEO","300","[c]","41340","40630"
"Leaver CS","2021","40-49","Unknown","Unknown","175","[c]","36800","36970"
"Leaver CS","2021","50-59","AA/AO","AA","345","[c]","19100","19050"
"Leaver CS","2021","50-59","AA/AO","AO","1965","[c]","22040","21010"
