"Status","Year","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA","Heterosexual / straight","170","160","20390","19810"
"In post","2021","Bedfordshire and Hertfordshire","AA","LGBO","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Undeclared","20","20","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA","Unknown","50","45","20760","21500"
"In post","2021","Bedfordshire and Hertfordshire","AO","Heterosexual / straight","705","660","25240","24180"
"In post","2021","Bedfordshire and Hertfordshire","AO","LGBO","40","40","27260","27850"
"In post","2021","Bedfordshire and Hertfordshire","AO","Undeclared","85","80","24940","24180"
"In post","2021","Bedfordshire and Hertfordshire","AO","Unknown","185","170","25770","25110"
"In post","2021","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","1150","1065","28890","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","LGBO","55","55","28930","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Undeclared","145","135","29490","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","255","230","29380","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6","Heterosexual / straight","45","45","72360","69800"
"In post","2021","Bedfordshire and Hertfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6","Undeclared","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G7","Heterosexual / straight","175","165","57660","55980"
"In post","2021","Bedfordshire and Hertfordshire","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G7","Undeclared","25","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G7","Unknown","55","50","56340","53970"
"In post","2021","Bedfordshire and Hertfordshire","HEO","Heterosexual / straight","445","430","35460","35480"
"In post","2021","Bedfordshire and Hertfordshire","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HEO","Undeclared","65","65","35870","35050"
"In post","2021","Bedfordshire and Hertfordshire","HEO","Unknown","90","85","35490","34640"
"In post","2021","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO","Heterosexual / straight","275","265","43620","43640"
"In post","2021","Bedfordshire and Hertfordshire","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO","Undeclared","45","45","43360","44500"
"In post","2021","Bedfordshire and Hertfordshire","SEO","Unknown","65","60","43520","41950"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","215","200","28900","28200"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","LGBO","20","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","45","40","23920","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA","Heterosexual / straight","400","385","20060","19560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA","LGBO","30","30","20310","20370"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA","Undeclared","60","55","20570","19560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA","Unknown","120","110","20940","21500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AO","Heterosexual / straight","1970","1880","26250","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AO","LGBO","125","120","27780","27680"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AO","Undeclared","265","250","27870","25110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AO","Unknown","615","585","27160","26610"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","1695","1615","29060","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","100","95","29490","29140"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","225","215","30220","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","395","370","29640","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6","Heterosexual / straight","115","115","71020","67440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6","LGBO","5","5","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6","Undeclared","15","15","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6","Unknown","35","35","71290","70120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G7","Heterosexual / straight","405","375","56920","54640"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G7","LGBO","15","15","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G7","Undeclared","40","35","56840","53920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G7","Unknown","130","120","56390","54420"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HEO","Heterosexual / straight","950","910","34690","33900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HEO","LGBO","40","40","35370","33630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HEO","Undeclared","145","140","34580","34290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","HEO","Unknown","215","195","35450","34930"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Heterosexual / straight","45","40","96500","92400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO","Heterosexual / straight","675","655","43310","42030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO","LGBO","15","15","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO","Undeclared","100","100","44040","42580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO","Unknown","145","135","42300","41020"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","370","345","29920","29880"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","25","25","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","40","40","33440","37170"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","55","55","29070","24020"
"In post","2021","Cheshire","AA","Heterosexual / straight","90","80","19930","20600"
"In post","2021","Cheshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA","Undeclared","10","10","[c]","[c]"
"In post","2021","Cheshire","AA","Unknown","50","50","20540","20600"
"In post","2021","Cheshire","AO","Heterosexual / straight","650","595","23020","21010"
"In post","2021","Cheshire","AO","LGBO","50","50","24290","24680"
"In post","2021","Cheshire","AO","Undeclared","85","80","23960","21010"
"In post","2021","Cheshire","AO","Unknown","270","240","24710","22850"
"In post","2021","Cheshire","EO","Heterosexual / straight","1020","980","29540","28010"
"In post","2021","Cheshire","EO","LGBO","80","75","29070","27570"
"In post","2021","Cheshire","EO","Undeclared","115","110","29880","28840"
"In post","2021","Cheshire","EO","Unknown","220","200","29570","27570"
"In post","2021","Cheshire","G6","Heterosexual / straight","35","35","71330","67820"
"In post","2021","Cheshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6","Undeclared","[c]","[c]","[c]","[c]"
