"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA/AO","AO","170","150","22850","23520"
"In post","2021","Asian","Attorney General's Departments","EO","EO","170","160","27960","27580"
"In post","2021","Asian","Attorney General's Departments","G6/G7","G6","70","70","67610","65710"
"In post","2021","Asian","Attorney General's Departments","G6/G7","G7","345","315","54650","51830"
"In post","2021","Asian","Attorney General's Departments","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","HEO","105","105","36290","35290"
"In post","2021","Asian","Attorney General's Departments","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AA/AO","AO","20","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","EO","80","75","27800","27500"
"In post","2021","Asian","Cabinet Office","G6/G7","G6","35","35","67640","66440"
"In post","2021","Asian","Cabinet Office","G6/G7","G7","135","135","56050","54700"
"In post","2021","Asian","Cabinet Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO/HEO","HEO","110","110","34690","34550"
"In post","2021","Asian","Cabinet Office","SEO/HEO","SEO","65","60","40970","40600"
"In post","2021","Asian","Chancellor's other departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","EO","EO","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","EO","EO","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","G6/G7","G6","15","15","[c]","[c]"
