"Status","Year","Organisation","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","HEO","20","20","34960","35110"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO","10","10","47170","46600"
"In post","2021","Accountant in Bankruptcy","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","HEO","35","35","32370","30990"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","SEO","10","10","40790","40000"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","HEO","25","25","32360","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","HEO","40","40","32240","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO","10","10","41420","40440"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","HEO","40","35","32230","31160"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","SEO","10","10","41690","42200"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","HEO","30","30","32290","31180"
