"Status","Year","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","West Midlands","Outside London","90","85","42560","39670"
"In post","2021","Communications","West Wales and The Valleys","Outside London","100","95","31830","26780"
"In post","2021","Communications","West Yorkshire","Outside London","55","55","49320","49530"
"In post","2021","Corporate Finance","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","East Anglia","Outside London","10","10","31730","26890"
"In post","2021","Corporate Finance","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","25","25","43570","40700"
"In post","2021","Corporate Finance","Hampshire and Isle of Wight","Outside London","25","25","35620","29980"
"In post","2021","Corporate Finance","Inner London - East","London","25","25","50880","45920"
"In post","2021","Corporate Finance","Inner London - West","London","50","50","58230","57890"
"In post","2021","Corporate Finance","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Central Scotland","Outside London","10","10","44490","42390"
"In post","2021","Corporate Finance","West Midlands","Outside London","10","10","45510","40800"
"In post","2021","Counter Fraud","Bedfordshire and Hertfordshire","Outside London","20","20","38930","38510"
"In post","2021","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Derbyshire and Nottinghamshire","Outside London","20","15","35050","36060"
"In post","2021","Counter Fraud","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Anglia","Outside London","15","15","26870","25310"
"In post","2021","Counter Fraud","East Wales","Outside London","20","20","36230","31140"
"In post","2021","Counter Fraud","Eastern Scotland","Outside London","15","15","36040","35230"
"In post","2021","Counter Fraud","Essex","Outside London","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","15","10","38980","39490"
"In post","2021","Counter Fraud","Greater Manchester","Outside London","65","60","38620","39170"
"In post","2021","Counter Fraud","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Inner London - East","London","40","35","42960","43050"
"In post","2021","Counter Fraud","Inner London - West","London","345","335","43660","40000"
"In post","2021","Counter Fraud","Lancashire","Outside London","10","10","[c]","[c]"
