"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","East Anglia","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Inner London - East","50","45","47130","42260"
"In post","2021","Declared disabled","Analysis","London","Inner London - West","180","170","47160","42470"
"In post","2021","Declared disabled","Analysis","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Greater Manchester","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Merseyside","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South East (England)","Hampshire and Isle of Wight","95","90","38330","37320"
"In post","2021","Declared disabled","Analysis","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South West (England)","Dorset and Somerset","5","5","[c]","[c]"
