"Status","Year","Parent_department","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","G7","10","10","53730","54760"
"In post","2021","Attorney General's Departments","Communications","London","HEO","10","10","32050","31560"
"In post","2021","Attorney General's Departments","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","SEO","20","20","39580","39750"
"In post","2021","Attorney General's Departments","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","SEO","15","15","41080","41790"
"In post","2021","Attorney General's Departments","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","EO","35","35","27270","26380"
"In post","2021","Attorney General's Departments","Counter Fraud","London","G6","40","35","70420","69110"
"In post","2021","Attorney General's Departments","Counter Fraud","London","G7","45","40","58480","58590"
"In post","2021","Attorney General's Departments","Counter Fraud","London","HEO","70","70","33600","33100"
"In post","2021","Attorney General's Departments","Counter Fraud","London","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","SEO","80","80","41080","40390"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","EO","10","10","28630","28980"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","G7","15","15","59480","57400"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","HEO","20","20","34170","35290"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","SEO","20","20","41530","40170"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","EO","20","20","26760","25920"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","G7","10","10","53030","50850"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","HEO","25","25","31500","30930"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","SEO","35","35","39950","38780"
"In post","2021","Attorney General's Departments","Finance","London","AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","EO","15","15","27760","27350"
"In post","2021","Attorney General's Departments","Finance","London","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","G7","10","10","54680","55150"
"In post","2021","Attorney General's Departments","Finance","London","HEO","15","15","31900","31570"
"In post","2021","Attorney General's Departments","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Outside London","AO","20","20","21440","21950"
"In post","2021","Attorney General's Departments","Finance","Outside London","EO","20","20","26310","25920"
"In post","2021","Attorney General's Departments","Finance","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Outside London","HEO","20","20","31950","32050"
"In post","2021","Attorney General's Departments","Finance","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","London","AO","10","10","23780","23800"
"In post","2021","Attorney General's Departments","Human Resources","London","EO","20","20","27770","27350"
"In post","2021","Attorney General's Departments","Human Resources","London","G6","10","10","70720","70040"
"In post","2021","Attorney General's Departments","Human Resources","London","G7","25","25","55060","54420"
"In post","2021","Attorney General's Departments","Human Resources","London","HEO","30","25","32960","32530"
"In post","2021","Attorney General's Departments","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","London","SEO","20","20","40810","39750"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","EO","20","20","26180","25480"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","G7","25","25","53150","51090"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","HEO","40","40","31190","30610"
"In post","2021","Attorney General's Departments","Human Resources","Outside London","SEO","20","15","38980","38180"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","London","EO","95","95","30880","29280"
"In post","2021","Attorney General's Departments","Legal","London","G6","815","750","68430","66290"
"In post","2021","Attorney General's Departments","Legal","London","G7","1435","1335","55520","51940"
"In post","2021","Attorney General's Departments","Legal","London","HEO","155","155","42160","43920"
"In post","2021","Attorney General's Departments","Legal","London","SCS level","215","205","85900","80940"
"In post","2021","Attorney General's Departments","Legal","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Outside London","EO","85","85","26980","25480"
"In post","2021","Attorney General's Departments","Legal","Outside London","G6","130","125","72280","70350"
"In post","2021","Attorney General's Departments","Legal","Outside London","G7","1950","1780","55270","55610"
"In post","2021","Attorney General's Departments","Legal","Outside London","HEO","310","295","37350","38000"
"In post","2021","Attorney General's Departments","Legal","Outside London","SCS level","50","50","89210","84350"
"In post","2021","Attorney General's Departments","Legal","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Overseas","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","London","AA","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","London","AO","330","305","23160","23520"
"In post","2021","Attorney General's Departments","Operational Delivery","London","EO","305","285","29030","30110"
"In post","2021","Attorney General's Departments","Operational Delivery","London","G6","10","10","70970","70170"
"In post","2021","Attorney General's Departments","Operational Delivery","London","G7","15","15","58100","56410"
