"Status","Year","Age","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Outside London","25","25","21800","21040"
"In post","2021","16-19","Economics","London","25","25","26140","26330"
"In post","2021","16-19","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Outside London","35","35","20260","19500"
"In post","2021","16-19","Human Resources","London","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","40","35","22700","22680"
"In post","2021","16-19","Operational Delivery","Outside London","380","355","21040","20880"
"In post","2021","16-19","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","10","10","26740","27930"
"In post","2021","16-19","Other","Outside London","40","40","18930","19040"
"In post","2021","16-19","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Policy","London","25","25","25350","24540"
"In post","2021","16-19","Policy","Outside London","15","15","23710","25000"
"In post","2021","16-19","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outside London","20","20","21650","21600"
"In post","2021","16-19","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Outside London","120","120","17690","17710"
"In post","2021","16-19","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Outside London","20","20","21320","19560"
"In post","2021","16-19","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Outside London","150","145","20350","20140"
"In post","2021","16-19","Unknown","London","25","25","26850","26410"
"In post","2021","16-19","Unknown","Outside London","295","290","21890","21010"
"In post","2021","16-19","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","140","140","37910","35500"
"In post","2021","20-29","Commercial","Outside London","700","695","29270","28520"
"In post","2021","20-29","Commercial","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","London","595","595","36620","35430"
"In post","2021","20-29","Communications","Outside London","240","240","28290","26700"
"In post","2021","20-29","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","5","5","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Outside London","10","10","28660","28650"
"In post","2021","20-29","Counter Fraud","London","55","55","32430","33100"
"In post","2021","20-29","Counter Fraud","Outside London","20","20","28180","30350"
"In post","2021","20-29","Digital, Data and Technology","London","535","535","38690","36800"
"In post","2021","20-29","Digital, Data and Technology","Outside London","1400","1395","31200","30090"
"In post","2021","20-29","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","London","1015","1015","38230","34330"
"In post","2021","20-29","Economics","Outside London","160","160","31720","30600"
"In post","2021","20-29","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","London","405","405","39600","36120"
"In post","2021","20-29","Finance","Outside London","795","780","28980","26670"
"In post","2021","20-29","Finance","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Human Resources","London","450","445","36330","32730"
"In post","2021","20-29","Human Resources","Outside London","630","620","27420","25560"
"In post","2021","20-29","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","London","300","300","37310","35700"
"In post","2021","20-29","Intelligence Analysis","Outside London","235","230","28860","26350"
"In post","2021","20-29","Intelligence Analysis","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","15","15","39020","36580"
"In post","2021","20-29","Internal Audit","Outside London","35","35","33240","33150"
"In post","2021","20-29","International Trade","London","380","380","38490","38040"
"In post","2021","20-29","International Trade","Outside London","60","60","32030","31810"
"In post","2021","20-29","International Trade","Overseas","20","20","39940","36530"
"In post","2021","20-29","Knowledge and Information Management","London","85","85","31280","30220"
"In post","2021","20-29","Knowledge and Information Management","Outside London","200","200","26960","26350"
"In post","2021","20-29","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","London","505","505","37340","33460"
"In post","2021","20-29","Legal","Outside London","725","725","30950","25560"
"In post","2021","20-29","Medicine","London","15","15","35740","34510"
"In post","2021","20-29","Medicine","Outside London","125","120","28540","27420"
"In post","2021","20-29","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","London","4380","4330","30190","28720"
"In post","2021","20-29","Operational Delivery","Outside London","23210","22665","24310","23320"
"In post","2021","20-29","Operational Delivery","Overseas","10","10","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Unknown","15","15","22100","21310"
"In post","2021","20-29","Operational Research","London","150","145","37590","36160"
"In post","2021","20-29","Operational Research","Outside London","195","190","31660","28650"
"In post","2021","20-29","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","London","915","905","32920","30200"
"In post","2021","20-29","Other","Outside London","1320","1300","24190","21430"
"In post","2021","20-29","Other","Overseas","20","20","36100","37310"
"In post","2021","20-29","Other","Unknown","370","370","29010","28980"
"In post","2021","20-29","Planning","London","30","25","34780","32120"
"In post","2021","20-29","Planning","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","London","6270","6250","39600","35700"
"In post","2021","20-29","Policy","Outside London","1115","1105","31850","29730"
"In post","2021","20-29","Policy","Overseas","170","170","37100","34220"
"In post","2021","20-29","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","London","605","605","38100","35070"
"In post","2021","20-29","Project Delivery","Outside London","1430","1420","30500","30420"
"In post","2021","20-29","Project Delivery","Overseas","15","15","40970","38600"
"In post","2021","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","London","115","115","33040","30310"
"In post","2021","20-29","Property","Outside London","505","490","27640","25860"
"In post","2021","20-29","Property","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Psychology","London","20","20","28260","27740"
"In post","2021","20-29","Psychology","Outside London","345","340","27550","27380"
"In post","2021","20-29","Science and Engineering","London","290","280","33660","32640"
"In post","2021","20-29","Science and Engineering","Outside London","2425","2410","28280","28510"
"In post","2021","20-29","Science and Engineering","Overseas","20","20","37360","40080"
"In post","2021","20-29","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Security","London","175","175","32840","30630"
"In post","2021","20-29","Security","Outside London","890","885","25620","25540"
"In post","2021","20-29","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","London","190","190","38590","35050"
"In post","2021","20-29","Social Research","Outside London","220","220","33240","29540"
"In post","2021","20-29","Statistics","London","325","325","37620","36160"
"In post","2021","20-29","Statistics","Outside London","325","320","32350","31810"
"In post","2021","20-29","Tax","London","275","275","40040","36160"
"In post","2021","20-29","Tax","Outside London","3460","3380","25930","25560"
"In post","2021","20-29","Unknown","London","4760","4735","34400","31060"
"In post","2021","20-29","Unknown","Outside London","12415","12195","26120","27570"
"In post","2021","20-29","Unknown","Overseas","20","20","35180","33230"
"In post","2021","20-29","Unknown","Unknown","495","490","30660","29250"
"In post","2021","20-29","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Veterinarian","Outside London","10","10","[c]","[c]"
"In post","2021","30-39","Commercial","London","185","180","46590","42470"
"In post","2021","30-39","Commercial","Outside London","1075","1030","36870","35470"
"In post","2021","30-39","Commercial","Overseas","10","10","49020","47220"
"In post","2021","30-39","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","London","685","670","48060","45250"
"In post","2021","30-39","Communications","Outside London","480","455","35930","33840"
"In post","2021","30-39","Corporate Finance","London","30","30","55670","54700"
"In post","2021","30-39","Corporate Finance","Outside London","20","20","41710","40800"
"In post","2021","30-39","Counter Fraud","London","115","110","41370","40000"
"In post","2021","30-39","Counter Fraud","Outside London","80","75","30240","30810"
"In post","2021","30-39","Digital, Data and Technology","London","835","820","49950","48900"
"In post","2021","30-39","Digital, Data and Technology","Outside London","2475","2420","38020","36480"
"In post","2021","30-39","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Economics","London","435","420","58460","57980"
"In post","2021","30-39","Economics","Outside London","90","90","48200","49530"
"In post","2021","30-39","Economics","Overseas","25","25","55510","55620"
"In post","2021","30-39","Finance","London","575","560","51270","53420"
"In post","2021","30-39","Finance","Outside London","1330","1265","37120","34700"
"In post","2021","30-39","Finance","Overseas","10","10","47310","51190"
"In post","2021","30-39","Human Resources","London","520","505","46400","42190"
"In post","2021","30-39","Human Resources","Outside London","1215","1130","33470","30990"
"In post","2021","30-39","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Inspector of Education and Training","London","25","25","62850","67500"
"In post","2021","30-39","Inspector of Education and Training","Outside London","50","50","60480","51360"
"In post","2021","30-39","Intelligence Analysis","London","355","345","41490","37640"
"In post","2021","30-39","Intelligence Analysis","Outside London","520","500","30900","27380"
"In post","2021","30-39","Intelligence Analysis","Overseas","30","30","41180","36450"
"In post","2021","30-39","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","London","30","30","50580","48830"
"In post","2021","30-39","Internal Audit","Outside London","110","105","39850","39200"
"In post","2021","30-39","International Trade","London","325","320","50800","51970"
"In post","2021","30-39","International Trade","Outside London","55","55","37620","31810"
"In post","2021","30-39","International Trade","Overseas","55","55","54290","52970"
"In post","2021","30-39","Knowledge and Information Management","London","140","135","42030","38340"
"In post","2021","30-39","Knowledge and Information Management","Outside London","335","320","34390","33300"
"In post","2021","30-39","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","London","1415","1355","52240","51810"
"In post","2021","30-39","Legal","Outside London","1570","1505","40680","38550"
"In post","2021","30-39","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Medicine","London","80","70","59520","53830"
"In post","2021","30-39","Medicine","Outside London","480","430","40480","34490"
"In post","2021","30-39","Medicine","Overseas","10","10","47290","38390"
"In post","2021","30-39","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Delivery","London","5400","5175","35070","32680"
"In post","2021","30-39","Operational Delivery","Outside London","32125","29960","26930","25310"
"In post","2021","30-39","Operational Delivery","Overseas","45","45","41280","33180"
"In post","2021","30-39","Operational Delivery","Unknown","20","20","36170","37300"
"In post","2021","30-39","Operational Research","London","125","120","51220","52110"
"In post","2021","30-39","Operational Research","Outside London","230","220","42450","42680"
"In post","2021","30-39","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other","London","880","860","44240","38430"
"In post","2021","30-39","Other","Outside London","2420","2290","28750","26350"
"In post","2021","30-39","Other","Overseas","85","85","44520","41600"
"In post","2021","30-39","Other","Unknown","410","410","37370","34310"
"In post","2021","30-39","Planning","London","20","20","46200","42980"
"In post","2021","30-39","Planning","Outside London","35","30","39240","38260"
"In post","2021","30-39","Planning Inspectors","Outside London","45","45","51610","47660"
"In post","2021","30-39","Policy","London","5680","5540","52110","53420"
"In post","2021","30-39","Policy","Outside London","1985","1910","40240","37170"
"In post","2021","30-39","Policy","Overseas","535","535","48250","52430"
"In post","2021","30-39","Policy","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Project Delivery","London","930","910","49430","45200"
"In post","2021","30-39","Project Delivery","Outside London","2720","2635","38070","37320"
"In post","2021","30-39","Project Delivery","Overseas","55","55","47750","50580"
"In post","2021","30-39","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Property","London","150","150","44970","41690"
"In post","2021","30-39","Property","Outside London","825","795","34210","32480"
"In post","2021","30-39","Property","Overseas","40","40","35740","33020"
"In post","2021","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Psychology","London","25","25","43590","42550"
"In post","2021","30-39","Psychology","Outside London","565","535","34770","31180"
"In post","2021","30-39","Science and Engineering","London","365","345","44190","41030"
"In post","2021","30-39","Science and Engineering","Outside London","2560","2480","37400","37320"
"In post","2021","30-39","Science and Engineering","Overseas","35","35","43310","42070"
"In post","2021","30-39","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Security","London","265","260","39940","38800"
"In post","2021","30-39","Security","Outside London","1265","1255","31130","28890"
"In post","2021","30-39","Security","Overseas","5","5","[c]","[c]"
"In post","2021","30-39","Social Research","London","130","125","50080","52010"
"In post","2021","30-39","Social Research","Outside London","230","210","39760","37520"
"In post","2021","30-39","Statistics","London","245","240","48690","48490"
"In post","2021","30-39","Statistics","Outside London","355","340","41190","38630"
"In post","2021","30-39","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Tax","London","380","370","45140","36270"
"In post","2021","30-39","Tax","Outside London","3995","3860","31610","31810"
"In post","2021","30-39","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","London","3960","3845","44340","36650"
"In post","2021","30-39","Unknown","Outside London","17910","16550","29270","27570"
"In post","2021","30-39","Unknown","Overseas","105","105","47810","51260"
"In post","2021","30-39","Unknown","Unknown","315","305","34500","29250"
"In post","2021","30-39","Veterinarian","London","5","5","[c]","[c]"
"In post","2021","30-39","Veterinarian","Outside London","100","95","39020","37240"
"In post","2021","40-49","Commercial","London","225","220","52470","47150"
"In post","2021","40-49","Commercial","Outside London","1095","1055","41550","39030"
"In post","2021","40-49","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","London","475","450","53970","53130"
"In post","2021","40-49","Communications","Outside London","570","540","39240","37410"
"In post","2021","40-49","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Corporate Finance","London","20","15","57300","55500"
"In post","2021","40-49","Corporate Finance","Outside London","30","30","43800","37810"
