"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","London","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","Outside London","350","330","34300","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Outside London","125","120","32530","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","London","130","125","60780","56360"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Yorkshire and The Humber","Outside London","10","10","38680","35880"
"In post","2021","Analysis","Debt Management Office","London","London","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South East (England)","Outside London","340","325","41040","38060"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South West (England)","Outside London","110","110","37730","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","London","290","285","43330","36220"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","London","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","East Midlands (England)","Outside London","10","10","42290","42500"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","London","175","165","46830","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","North East (England)","Outside London","30","30","43530","42580"
"In post","2021","Analysis","Department for Education (excl. agencies)","North West (England)","Outside London","40","40","37840","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","South West (England)","Outside London","20","15","41410","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Midlands (England)","Outside London","10","10","41650","40130"
"In post","2021","Analysis","Department for Education (excl. agencies)","Yorkshire and The Humber","Outside London","125","115","44050","42420"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","Outside London","45","45","35100","31310"
"In post","2021","Analysis","Department for International Trade","London","London","230","230","42740","38540"
"In post","2021","Analysis","Department for International Trade","South East (England)","Outside London","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","London","380","370","46950","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","South East (England)","Outside London","10","10","45120","45620"
"In post","2021","Analysis","Department for Transport (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","London","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","Outside London","85","85","47560","49530"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Wales","Outside London","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Midlands (England)","Outside London","15","15","32450","33350"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","South West (England)","Outside London","20","15","33660","31620"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","London","30","25","43150","40650"
"In post","2021","Analysis","Food Standards Agency","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","London","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","London","165","155","69370","65470"
"In post","2021","Analysis","Government Actuary's Department","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","North West (England)","Outside London","25","25","41550","39390"
"In post","2021","Analysis","Health and Safety Executive","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","East of England","Outside London","25","25","43980","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","London","360","350","47610","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","North West (England)","Outside London","245","235","38930","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","London","125","120","50770","52680"
"In post","2021","Analysis","Insolvency Service","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","London","85","85","43990","40640"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South East (England)","Outside London","45","45","35810","33300"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South West (England)","Outside London","60","55","39710","36300"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","London","190","190","46840","46510"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","London","355","340","46610","41040"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Yorkshire and The Humber","Outside London","35","35","32450","30430"
"In post","2021","Analysis","National Savings and Investments","London","London","10","10","38090","33290"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","London","35","35","45600","42850"
