"Status","Year","Age","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","95","95","18130","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Bedford","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Outside London","AA/AO","20","20","20230","20140"
"In post","2021","16-19","Birmingham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Outside London","AA/AO","15","15","21010","21010"
"In post","2021","16-19","Bradford","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Camden and City of London","London","AA/AO","[c]","[c]","[c]","[c]"
