"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","EO","25","25","26060","26410"
"In post","2021","16-19","Commercial","AO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","EO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","AO","5","5","[c]","[c]"
"In post","2021","16-19","Communications","EO","10","10","[c]","[c]"
"In post","2021","16-19","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","AO","50","50","20140","20140"
"In post","2021","16-19","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AA","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","AO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","EO","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","AO","15","10","20570","20140"
"In post","2021","16-19","Finance","EO","25","25","20800","19040"
"In post","2021","16-19","Grants Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","AA","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","AO","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","AO","30","30","21690","21950"
"In post","2021","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","AA","100","90","18860","18060"
"In post","2021","16-19","No function","AO","330","315","21150","20140"
"In post","2021","16-19","No function","EO","55","55","24300","24300"
"In post","2021","16-19","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","AA","15","15","15880","14850"
"In post","2021","16-19","Project Delivery","AO","10","10","[c]","[c]"
"In post","2021","16-19","Project Delivery","EO","95","95","18390","17780"
"In post","2021","16-19","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Unknown","15","15","16840","16780"
"In post","2021","16-19","Property","AA","5","5","[c]","[c]"
"In post","2021","16-19","Property","AO","10","10","21230","20880"
"In post","2021","16-19","Property","EO","10","10","24850","24500"
"In post","2021","16-19","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Security","AA","10","10","19560","19560"
"In post","2021","16-19","Security","AO","10","10","23890","23540"
"In post","2021","16-19","Security","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","AA","65","65","20630","21150"
"In post","2021","16-19","Unknown","AO","245","235","21420","21010"
"In post","2021","16-19","Unknown","EO","60","60","27910","27570"
"In post","2021","16-19","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","40","40","18670","15940"
"In post","2021","20-29","Analysis","AA","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","AO","110","110","21820","21050"
"In post","2021","20-29","Analysis","EO","295","295","26620","26410"
"In post","2021","20-29","Analysis","G6","25","25","64160","66090"
"In post","2021","20-29","Analysis","G7","345","345","53520","53530"
"In post","2021","20-29","Analysis","HEO","1260","1255","32960","32540"
"In post","2021","20-29","Analysis","SEO","435","430","39610","38630"
"In post","2021","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","AA","10","10","20060","20350"
"In post","2021","20-29","Commercial","AO","100","95","21420","20920"
"In post","2021","20-29","Commercial","EO","220","220","26010","26440"
"In post","2021","20-29","Commercial","G6","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","G7","70","70","53430","54700"
"In post","2021","20-29","Commercial","HEO","265","265","32090","32910"
"In post","2021","20-29","Commercial","SCS level","20","20","65340","62010"
"In post","2021","20-29","Commercial","SEO","175","170","39240","40000"
"In post","2021","20-29","Commercial","Unknown","55","55","28200","26670"
"In post","2021","20-29","Communications","AA","5","5","[c]","[c]"
"In post","2021","20-29","Communications","AO","95","90","22670","22390"
"In post","2021","20-29","Communications","EO","1135","1125","25850","25560"
"In post","2021","20-29","Communications","G6","5","5","[c]","[c]"
"In post","2021","20-29","Communications","G7","65","65","53290","53590"
"In post","2021","20-29","Communications","HEO","560","560","33060","31810"
"In post","2021","20-29","Communications","SEO","205","205","40600","40070"
"In post","2021","20-29","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","AO","75","70","20450","20140"
"In post","2021","20-29","Counter Fraud","EO","665","665","26610","25560"
"In post","2021","20-29","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","G7","60","60","53950","52580"
"In post","2021","20-29","Counter Fraud","HEO","255","255","32530","31810"
"In post","2021","20-29","Counter Fraud","SEO","45","45","39330","38630"
"In post","2021","20-29","Debt","AO","905","880","20350","20140"
"In post","2021","20-29","Debt","EO","135","135","25140","25560"
"In post","2021","20-29","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","HEO","15","15","31260","31810"
"In post","2021","20-29","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","AA","25","25","20660","19730"
"In post","2021","20-29","Digital, Data & Technology","AO","85","85","21760","21590"
"In post","2021","20-29","Digital, Data & Technology","EO","685","680","26670","26130"
"In post","2021","20-29","Digital, Data & Technology","G6","10","10","66000","64590"
"In post","2021","20-29","Digital, Data & Technology","G7","195","195","53570","53680"
"In post","2021","20-29","Digital, Data & Technology","HEO","680","675","32600","31810"
"In post","2021","20-29","Digital, Data & Technology","SEO","355","355","39890","39120"
"In post","2021","20-29","Digital, Data & Technology","Unknown","15","15","27380","25520"
"In post","2021","20-29","Finance","AA","20","20","20040","20200"
"In post","2021","20-29","Finance","AO","200","185","20850","20140"
"In post","2021","20-29","Finance","EO","370","370","25350","25560"
"In post","2021","20-29","Finance","G6","10","10","64670","64220"
"In post","2021","20-29","Finance","G7","120","120","54340","53930"
"In post","2021","20-29","Finance","HEO","365","365","32860","32790"
"In post","2021","20-29","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","SEO","205","205","40180","40270"
"In post","2021","20-29","Finance","Unknown","15","15","29590","29060"
"In post","2021","20-29","Grants Management","AO","165","165","20860","21050"
"In post","2021","20-29","Grants Management","EO","65","65","24800","24920"
"In post","2021","20-29","Grants Management","HEO","10","10","[c]","[c]"
"In post","2021","20-29","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","AA","35","35","19750","19560"
"In post","2021","20-29","Human Resources","AO","240","235","21480","20920"
"In post","2021","20-29","Human Resources","EO","415","410","25980","26410"
"In post","2021","20-29","Human Resources","G6","15","15","63530","62170"
"In post","2021","20-29","Human Resources","G7","115","115","53900","53360"
"In post","2021","20-29","Human Resources","HEO","445","445","31730","31920"
"In post","2021","20-29","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","SEO","120","120","38800","38630"
"In post","2021","20-29","Human Resources","Unknown","35","35","26020","23800"
"In post","2021","20-29","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","EO","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","HEO","30","30","33650","33420"
"In post","2021","20-29","Internal Audit","SEO","10","10","40620","39800"
"In post","2021","20-29","Legal","AA","25","20","20110","20070"
"In post","2021","20-29","Legal","AO","580","570","21740","21950"
"In post","2021","20-29","Legal","EO","540","530","27430","26970"
"In post","2021","20-29","Legal","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","G7","195","195","51590","51250"
"In post","2021","20-29","Legal","HEO","365","365","34220","31810"
"In post","2021","20-29","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","SEO","140","140","37140","37230"
"In post","2021","20-29","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","AA","1695","1625","20000","20600"
"In post","2021","20-29","No function","AO","13895","13565","23380","22350"
"In post","2021","20-29","No function","EO","5935","5885","27140","26510"
"In post","2021","20-29","No function","G6","175","175","64110","64500"
"In post","2021","20-29","No function","G7","2150","2145","53730","53360"
"In post","2021","20-29","No function","HEO","8005","7965","32040","32000"
"In post","2021","20-29","No function","SCS level","15","15","78190","74250"
"In post","2021","20-29","No function","SEO","2040","2025","39450","39610"
"In post","2021","20-29","No function","Unknown","2115","2070","25280","22920"
"In post","2021","20-29","Project Delivery","AA","25","25","18740","18730"
"In post","2021","20-29","Project Delivery","AO","120","115","22150","21490"
"In post","2021","20-29","Project Delivery","EO","1370","1355","23890","25310"
"In post","2021","20-29","Project Delivery","G6","25","25","64930","64670"
"In post","2021","20-29","Project Delivery","G7","260","260","51580","53000"
"In post","2021","20-29","Project Delivery","HEO","1520","1510","31400","31810"
"In post","2021","20-29","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","SEO","600","600","38740","38750"
