"Status","Year","Age","Disability","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","AA","[c]","[c]","[c]","[c]"
