"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","Heterosexual / straight","140","135","45100","42170"
"In post","2021","Asian","Economics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Economics","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","Heterosexual / straight","375","365","43330","39970"
"In post","2021","Asian","Finance","London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Finance","London","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Finance","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","Heterosexual / straight","280","270","35590","31810"
"In post","2021","Asian","Finance","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Heterosexual / straight","240","230","40230","35070"
"In post","2021","Asian","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Heterosexual / straight","125","120","31420","28080"
"In post","2021","Asian","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","LGBO","[c]","[c]","[c]","[c]"
