"Status","Year","Age","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","150","150","22630","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","15","10","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
